Level,Functional Group
0,'Herbivore (Grazer)'
1,'Herbivore (Scraper)'
2,'Herbivore (Browser)'
3,'Detritivore (exclusively)'
4,'Corallivore'
5,'Planktivore'
6,'Small Invert. Feeder'
7,'Large Invert. Feeder'
8,'Small Predator'
9,'Large Predator'
